videoId,title,channelTitle,viewCount,publishedAt,liveBroadcastContent,LikeCount,DislikeCount,CommentCount,Duration,Definition,Caption,LicensedContent,ContentRating,RegionRestriction,subscriberCount
uTr-ZaJF0U0,Dégustation de boissons naturelles (que c’est bon de retrouver le Squeezos),Mcfly et Carlito,2320347,2025-05-22T15:30:47Z,none,139606,0,2941,PT46M55S,hd,false,True,{},{},7530000
VFvDwn2r5RI,Marine - Coeur maladroit (Clip officiel),MarineVEVO,233828,2025-05-23T10:00:06Z,none,15969,0,1160,PT2M42S,hd,false,True,{},"{'allowed': ['AD', 'AE', 'AF', 'AG', 'AI', 'AL', 'AM', 'AO', 'AQ', 'AR', 'AS', 'AT', 'AU', 'AW', 'AX', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BL', 'BM', 'BN', 'BO', 'BQ', 'BR', 'BS', 'BT', 'BV', 'BW', 'BY', 'BZ', 'CA', 'CC', 'CD', 'CF', 'CG', 'CH', 'CI', 'CK', 'CL', 'CM', 'CN', 'CO', 'CR', 'CU', 'CV', 'CW', 'CX', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'EH', 'ER', 'ES', 'ET', 'FI', 'FJ', 'FK', 'FM', 'FO', 'FR', 'GA', 'GB', 'GD', 'GE', 'GF', 'GG', 'GH', 'GI', 'GL', 'GM', 'GN', 'GP', 'GQ', 'GR', 'GS', 'GT', 'GU', 'GW', 'GY', 'HK', 'HM', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IM', 'IN', 'IO', 'IQ', 'IR', 'IS', 'IT', 'JE', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KP', 'KR', 'KW', 'KY', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'LY', 'MA', 'MC', 'MD', 'ME', 'MF', 'MG', 'MH', 'MK', 'ML', 'MM', 'MN', 'MO', 'MP', 'MQ', 'MR', 'MS', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NC', 'NE', 'NF', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NU', 'NZ', 'OM', 'PA', 'PE', 'PF', 'PG', 'PH', 'PK', 'PL', 'PM', 'PN', 'PR', 'PS', 'PT', 'PW', 'PY', 'QA', 'RE', 'RO', 'RS', 'RW', 'SA', 'SB', 'SC', 'SD', 'SE', 'SG', 'SH', 'SI', 'SJ', 'SK', 'SL', 'SM', 'SN', 'SO', 'SR', 'SS', 'ST', 'SV', 'SX', 'SY', 'SZ', 'TC', 'TD', 'TF', 'TG', 'TH', 'TJ', 'TK', 'TL', 'TM', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'UM', 'US', 'UY', 'UZ', 'VA', 'VC', 'VE', 'VG', 'VI', 'VN', 'VU', 'WF', 'WS', 'YE', 'YT', 'ZA', 'ZM', 'ZW']}",173
OQsuvRNHSJI,"Une soirée pour tenter de finir ce jeu HARDCORE ! ""12 MINUTES "" Ft. Byilhan",Inoxtag,475225,2025-05-23T00:36:29Z,none,19294,0,173,PT5H1M58S,hd,false,True,{},{},9040000
gie8aSWurgo,LACRIM - CHERNGTALAY / ACT 7,Lacrim,519922,2025-05-22T16:00:30Z,none,20784,0,1308,PT3M26S,hd,false,False,{},{'blocked': ['RU']},4730000
vF7lioO_uG8,APPELLE TA COPINE,GIMS - Topic,122592,2025-05-22T10:10:21Z,none,7768,0,351,PT3M1S,hd,false,True,{},{},238000
3TGWBrc7FEw,Landy - Cantona (Clip Officiel),Landy,243672,2025-05-22T16:00:01Z,none,7555,0,261,PT2M51S,hd,false,True,{},{},787000
z0mzllgT9CE,7 jours pour démasquer l’imposteur,Hunter Gaming,157692,2025-05-22T19:00:49Z,none,11481,0,433,PT15M44S,hd,false,True,{},{},302000
SRceFF-h4vg,Djadja & Dinaz - En vrai de vrai [Clip Officiel],Djadja & Dinaz,1594965,2025-05-21T16:00:03Z,none,16026,0,1070,PT3M51S,hd,true,True,{},{},2570000
SwAyTCOgmsY,PROMO INFLU À BALI - S3 Ep 1,Promo Influ,182546,2025-05-21T21:05:06Z,none,3685,0,173,PT43M8S,hd,false,True,{},{},41600
tkXOI621myg,Je RÉNOVE SEUL mon MICRO-TRACTEUR !,Baptiste Pitois,72584,2025-05-22T16:01:26Z,none,5658,0,208,PT41M34S,hd,false,True,{},{},302000
6SHLjOKFVXA,BLACKPINK WORLD TOUR [DEADLINE],BLACKPINK,754764,2025-05-23T11:00:01Z,none,140037,0,8833,PT30S,hd,false,True,{},{},96600000
6_c98jzjKu0,"On réagit à des reportages avec @LenaSituations ! (Mode, selfie et pub) | DERUSH #4",Elise Lucet,277252,2025-05-21T18:00:11Z,none,14681,0,341,PT51M39S,hd,false,True,{},{},167000
tPxWuA6FUwI,ON CRÉE UNE ORGANISATION AVEC HCTUAN #3 (Crazytown saison 3),Mastu +,180401,2025-05-21T14:47:56Z,none,8375,0,302,PT4H27M18S,hd,false,True,{},{},239000
6L0s_0RqMNg,Mes chantiers immobiliers 1 an après (galère…),Lulu ronce de noyer,242417,2025-05-21T17:00:11Z,none,10129,0,480,PT59M34S,hd,false,True,{},{},479000
hfnsS0sHh3U,SWAP D'ANNIVERSAIRE ! (20 ANS),Tamburini's,237668,2025-05-21T14:31:00Z,none,13405,0,183,PT32M9S,hd,false,True,{},{},1190000
SB69blyX46c,Benson Boone - Momma Song (Official Music Video),Benson Boone,1442819,2025-05-22T22:00:07Z,none,77512,0,5850,PT3M31S,hd,false,True,{},{},4840000
PT_P2OrA6bE,🟩 ADRIEN RABIOT : « Les Marseillais sont fiers de moi ! »,CARRÉ,48352,2025-05-22T16:00:39Z,none,1658,0,205,PT11M4S,hd,false,True,{},{},91000
ZhCINr3OFKw,OMG J'obtiens la voiture la plus CHERE de la CONCESSION sur FORZA HORIZON 5 !! (10+ Super tirages),Mafiastunting,86964,2025-05-22T16:26:57Z,none,6724,0,176,PT21M6S,hd,false,True,{},{},2300000
UflueAmIikI,24H AVEC NOUS : travaux + grand ménage de printemps + BIG CONCOURS MAKEUP,Domi & Yani,202875,2025-05-21T15:18:22Z,none,10269,0,3551,PT39M27S,hd,false,True,{},{},1270000
9NOHVSjBbSE,DES NOUVEAUX HABITANTS À CRAZYTOWN !! #2 (Crazytown Saison 3),Mastu +,294951,2025-05-20T17:08:01Z,none,12296,0,323,PT4H38M15S,hd,false,True,{},{},239000
MSUNLUKeKUM,Nissan GT-R R34 : Dommage qu'elle soit si connue,Sylvain Lyve,786435,2025-05-22T16:15:02Z,none,68175,0,2333,PT23M27S,hd,false,True,{},{},1680000
PotflHXQ-1Y,JCC Pokémon Pocket : Crise Interdimensionnelle | Disponible le 29 mai,La chaîne officielle Pokémon en français,26838,2025-05-22T13:07:12Z,none,0,0,178,PT49S,hd,false,True,{},{},489000
SlhV9ZMIPe0,Je me qualifie au monde de Duathlon ? - Grand Prix Willgottheim,Syblo - Baptiste Cartieaux,35595,2025-05-22T13:30:22Z,none,2452,0,70,PT28M28S,hd,false,True,{},{},72100
iILb6QbmdK4,J28 : La PIRE humiliation de TOUTE ma carrière... | QDF#164,Val Lienard,201695,2025-05-21T16:30:18Z,none,7777,0,455,PT34M32S,hd,false,True,{},{},501000
YUSbKQO674w,Ultron: A New Age Begins | Character Reveal | Marvel Rivals,Marvel Rivals,1893828,2025-05-22T17:00:43Z,none,102749,0,6942,PT1M7S,hd,false,False,{},{},650000
_QL4pp2ZmG8,Women's Cruise 2026 Show I LOUIS VUITTON,Louis Vuitton,1197011,2025-05-22T19:43:04Z,none,6746,0,283,PT12M53S,hd,false,False,{},{},5420000
mtHsBV9Lbdg,Nouveau RECORD DU MONDE 🤯💥 Honda Hornet 1000 | HORS SÉRIE,Moto Journal,45985,2025-05-22T15:01:17Z,none,2440,0,187,PT16M35S,hd,false,True,{},{},497000
CHJdau1hQ7c,On juge des TRICHEURS !,CYRILstudio,161642,2025-05-22T16:00:18Z,none,8805,0,211,PT21M3S,hd,false,True,{},{},1030000
_iwSm_bg7nA,DOC OVG 667 x Saïf - Fumée noire,Mangemort Squad,70046,2025-05-21T16:00:24Z,none,5722,0,359,PT3M25S,hd,false,False,{},{},604000
bVk4i_PYxug,2€ dans la ville la moins chère d'Afrique !,CYRILmp4,885543,2025-05-20T16:00:52Z,none,35296,0,906,PT22M36S,hd,false,True,{},{},5150000
p5LrBA_YYwI,"Le pire duo va en prison #5 (ft Djilsi, Maxime Biaggi, Gotaga)",SQUEEZIE,5811470,2025-05-18T16:37:07Z,none,314893,0,3003,PT49M54S,hd,false,True,{},{},19500000
AKrOH_lFJjM,MASTU FAIT UN NOUVEAU VILLAGE !! #1 (Crazytown saison 3),Mastu +,765469,2025-05-19T15:18:12Z,none,32461,0,745,PT5H9M5S,hd,false,True,{},{},239000
4PxWGCnI_zw,"Résumé : PACERS @ KNICKS, Scénario de DINGUE pour commencer la SÉRIE !",NBA Extra - beIN SPORTS France,147320,2025-05-22T06:23:53Z,none,3665,0,206,PT15M,hd,false,True,{},"{'allowed': ['BL', 'FR', 'GF', 'GP', 'MF', 'MQ', 'NC', 'PF', 'PM', 'RE', 'TF', 'WF', 'YT']}",246000
gGcRBIwzcKA,HOT ONES : Thomas Ngijol devient aveugle,Studio Bagel,1293385,2025-05-19T15:30:31Z,none,39501,0,955,PT35M,hd,false,True,{},{},3820000
0uzDToD0jHY,LE DÉRAILLEMENT DU TGV QUI A CHOQUÉ LA FRANCE (Eckwersheim),Neoxi,300627,2025-05-20T16:30:01Z,none,14946,0,367,PT27M2S,hd,false,True,{},{},2050000
xqJurrQKNdE,"Falling In Reverse - ""God Is A Weapon""",Epitaph Records,2663047,2025-05-20T14:00:16Z,none,165405,0,9832,PT3M36S,hd,true,True,{},{},3740000
vJJ7Yt-uqJE,YoungBoy Never Broke Again - Finest  [Official Music Video],YoungBoy Never Broke Again,2602070,2025-05-21T23:48:39Z,none,203395,0,21190,PT3M29S,hd,false,False,{},"{'blocked': ['BY', 'RU']}",14300000
R9pQ-bMkuJQ,Le résumé de Tottenham Hotspur / Manchester United - Ligue Europa 2024/25 (Finale),CANAL+ Sport,504459,2025-05-21T21:23:04Z,none,9103,0,545,PT8M26S,hd,false,True,{},"{'allowed': ['AD', 'BL', 'FR', 'GF', 'GP', 'MC', 'MF', 'MQ', 'NC', 'PF', 'PM', 'RE', 'WF', 'YT']}",1670000
pjtY-es384M,Le WEB est MORT (GOOGLE vient de le tuer),Numerama,76129,2025-05-21T12:35:36Z,none,3630,0,579,PT9M30S,hd,false,True,{},{},173000
Ku5aj50iFYs,⏱️ Poulet et légumes au four - Rapide et Facile,Philippe Etchebest,62371,2025-05-21T15:00:39Z,none,3056,0,132,PT6M16S,hd,false,True,{},{},1850000
_3PtXq4mA_M,Jurassic World : Renaissance - Bande Annonce Officielle - VF - Au cinéma le 4 Juillet 2025,Universal Pictures France,248463,2025-05-20T12:01:07Z,none,1442,0,212,PT2M35S,hd,false,True,{},{},580000
lynRByn6RY0,Zootopie 2 - Première bande-annonce | Disney,Disney FR,161397,2025-05-20T16:14:44Z,none,7501,0,0,PT1M33S,hd,false,True,{},{},5560000
0rzCW23Vhz0,Les dangers de la greffe de cheveux !?,Dr Nozman,467139,2025-05-20T16:00:00Z,none,22391,0,1189,PT15M29S,hd,false,True,{},{},4860000
GOQ_qb0SgYw,SASUKE avait RAISON - NARUTOLOGIE #6,LeChefOtaku,139361,2025-05-20T16:00:32Z,none,9485,0,870,PT36M6S,hd,false,True,{},{},1040000
isSF2qEO9tc,Zed - Sauron (Visualizer),Zed,101008,2025-05-20T15:00:15Z,none,6984,0,192,PT2M27S,hd,false,True,{},{},82700
dL39mX1krA8,QUI PEUT OBTENIR 100% DES VOTES ?,JOYCA,2467749,2025-05-18T11:02:25Z,none,152314,0,4048,PT40M44S,hd,false,True,{},{},6620000
BDznnkJLzkY,La MEILLEURE EQUIPE pour SPEEDRUN chaque jeu 🕓,Pokémon Trash,119143,2025-05-20T15:52:01Z,none,5784,0,161,PT22M35S,hd,false,True,{},{},1130000
JvPK5rlpT2w,TOTTENHAM HOTSPUR WIN THE EUROPA LEAGUE! | Post match scenes and trophy lift uncut,Tottenham Hotspur,1332253,2025-05-22T00:39:14Z,none,50524,0,2965,PT8M7S,hd,false,True,{},{},3960000
5wF-XZLHynU,How We Make Our Deadly Traps,MrBeast 2,10407617,2025-05-20T16:00:01Z,none,374466,0,4756,PT16M35S,hd,true,True,{},{},50100000
KlqvKWAMVYs,Bonjour BB pour toi ce message ❤️ Une nouvelle journée à t’aimer ! Je t’aime💓,Mon Message d'Amour ,130023,2025-05-20T04:00:33Z,none,793,0,75,PT21S,hd,false,True,{},{},31000
F9Au0nXEH5E,PALME D'OR D'HONNEUR - Denzel Washington - VO - Cannes 2025,Festival de Cannes,186326,2025-05-20T09:09:13Z,none,3438,0,0,PT6M51S,hd,false,False,{},{},199000
_Z5NkURnkHg,Highlights! | Kevin De Bruyne's final Etihad fixture | Man City 3-1 Bournemouth,Man City,2125300,2025-05-20T23:00:39Z,none,39990,0,1045,PT2M16S,hd,false,True,{},{},8450000
tiPWzFLiz4A,Reneé Rapp - Leave Me Alone (Official Music Video),Reneé Rapp,460387,2025-05-21T16:00:59Z,none,40611,0,2478,PT2M41S,hd,true,False,{},"{'blocked': ['BY', 'RU']}",352000
CKL04xrszW0,L'Iceberg de la triche du JEU VIDEO,BeHop,219741,2025-05-19T16:50:41Z,none,12172,0,902,PT32M58S,hd,false,True,{},{},88800
7cdgdinfNnI,On réagit au Met Gala car nous sommes des experts de la mode,Mcfly et Carlito,838368,2025-05-20T15:23:43Z,none,43080,0,1250,PT28M21S,hd,false,True,{},{},7530000
YDK201jxuYU,Pourquoi Apple n'abandonne pas le Vision Pro ?,Nowtech,63109,2025-05-20T15:01:02Z,none,2808,0,245,PT21M23S,hd,false,True,{},{},423000
K8dUB1AcbpU,1€ le produit makeup : le full face entier (et c’est pas gagné 😅) | BYS MAQUILLAGE,Ayo Coralie,48673,2025-05-20T08:00:32Z,none,3730,0,136,PT33M58S,hd,false,True,{},{},459000
vbiopIYgDMQ,J’ai acheté tous les objets censés changer ta vie 🤔,Amixem,2362653,2025-05-18T15:25:00Z,none,119010,0,1060,PT21M26S,hd,false,True,{},{},8970000
RGJoXtX77xY,"Pop-up, drama & bébé n°3 ? Je réponds à tout.",gaelle garcia diaz,442535,2025-05-19T16:09:59Z,none,21331,0,368,PT25M57S,hd,false,True,{},{},2040000
40wMvHlQWK8,"Énorme Match de Foot entre 6 YOUTUBEURS vs 6 RAPPEURS ! (ft. Byilhan, Raska, Alonzo, Kerchak …)",Michou,1335975,2025-05-18T09:15:00Z,none,55431,0,2414,PT42M46S,hd,false,True,{},{},10400000
bDVpI23q8Zg,Google I/O 2025 keynote in 32 minutes,The Verge,973318,2025-05-20T22:13:53Z,none,14130,0,1052,PT32M23S,hd,false,True,{},{},3430000
nF2yhqNsOz4,Ziak - Maudit Land (Prod. Seezy),Ziak C.C,357494,2025-05-19T15:00:01Z,none,11042,0,912,PT1M52S,hd,false,False,{},"{'blocked': ['BY', 'RU']}",950000
GQmgFexWBsk,La Chine est en train d’acheter l’Afrique ?,Yvan Casta,200697,2025-05-19T16:13:55Z,none,13337,0,1051,PT22M20S,hd,false,True,{},{},275000
bFs-MULkyME,Motion Warning Sends Stranger Running | RingTV,Ring,148961,2025-05-15T18:30:41Z,none,390,0,35,PT11S,hd,true,False,{},{},532000
jTX1sE3SyTc,Je suis trop grand pour faire le GP Explorer ?!,AminematueLive,432165,2025-05-18T16:01:32Z,none,19409,0,2701,PT51M9S,hd,false,True,{},{},659000
